id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
205,初恋这件小事,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p767451487.jpg,泰国,2010, 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn, 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn,8.4,黑小鸭速效美白记。,剧情/喜剧/爱情,
206,穿越时空的少女,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2079334286.jpg,日本,2006, 细田守 Mamoru Hosoda, 仲里依纱 Riisa Naka,8.6,爱上未来的你。 ,剧情/爱情/科幻/动画,
207,小偷家族,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg,日本,2018, 是枝裕和 Hirokazu Koreeda, 中川雅也 Lily Franky,8.7,我们组成了家。,剧情/犯罪/家庭,
208,可可西里,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2414771522.jpg,中国大陆 中国香港,2004, 陆川 Chuan Lu, 多布杰 Duobujie,8.8,坚硬的信仰。,剧情/犯罪,
209,绿里奇迹,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg,美国,1999, Frank Darabont, 汤姆·汉克斯 Tom Hanks,8.8,天使暂时离开。,犯罪/剧情/奇幻/悬疑,
210,2001太空漫游,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.jpg,英国 美国,1968, 斯坦利·库布里克 Stanley Kubrick, 凯尔·杜拉 Keir Dullea,8.8,现代科幻电影的开山之作，最伟大导演的最伟大影片。,科幻/惊悚/冒险,
211,完美陌生人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2522331945.jpg,意大利,2016, 保罗·格诺维瑟 Paolo Genovese, 马可·贾利尼 Marco Giallini ...,8.5,来啊，互相伤害啊！,剧情/喜剧,
212,牯岭街少年杀人事件,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg,中国台湾,1991, 杨德昌 Edward Yang, 张震 Chen Chang,8.8,弱者送给弱者的一刀。,剧情/犯罪,
213,无耻混蛋,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575043939.jpg,德国 美国,2009, Quentin Tarantino, 布拉德·皮特 Brad Pitt,8.6,昆汀同学越来越变态了，比北野武还杜琪峰。,剧情/犯罪,
214,阿飞正传,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.jpg,中国香港,1990, 王家卫 Kar Wai Wong, 张国荣 Leslie Cheung,8.5,王家卫是一种风格，张国荣是一个代表。,犯罪/剧情/爱情,
215,新龙门客栈,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg,中国香港 中国大陆,1992, 李惠民 Raymond Lee, 张曼玉 Maggie Cheung,8.6,嬉笑怒骂，调风动月。,动作/爱情/武侠/古装,
216,香水,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2441127736.jpg,德国 法国 西班牙 美国,2006, 汤姆·提克威 Tom Tykwer, 本·卫肖 Ben Whishaw,8.5,一个单凭体香达到高潮的男人。,剧情/犯罪/奇幻,
217,源代码,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg,美国 加拿大,2011, 邓肯·琼斯 Duncan Jones, 杰克·吉伦哈尔 Jake Gyllenhaal,8.4,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,科幻/悬疑/惊悚,
218,城市之光,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg,美国,1931, Charles Chaplin, 查理·卓别林 Charles Chaplin,9.3,永远的小人物，伟大的卓别林。,喜剧/剧情/爱情,
