id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
78,内夫塔足球俱乐部 Nefta Football Club,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572332341.jpg,法国/突尼斯,2018,Yves Piat,Eltayef Dhaoui / Mohamed Ali Ayari / Lyès Salem,8.1,,喜/剧/ /// /短/片,
79,巴依尔的春节,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2581481931.jpg,中国大陆,2020,宁浩,张子贤 / 李嘉宇 / 李世成,7.7,,剧/情/ /// /短/片,
80,为了萨玛 For Sama,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2563432836.jpg,英国/叙利亚,2019,娃艾·阿卡提布 / 爱德华·华兹,娃艾·阿卡提布 / 哈姆扎·哈蒂卜 / 萨玛·阿勒·哈蒂卜,8.2,,战/争/ /// /纪/录/片,
81,阿基米德大战 アルキメデスの大戦,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2556860883.jpg,日本,2019,山崎贵,菅田将晖 / 馆博 / 滨边美波,7.5,,剧/情/ /// /战/争,
82,隐秘的生活 A Hidden Life,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2565607356.jpg,美国/英国/德国,2019,泰伦斯·马力克,奥古斯特·迪赫 / 瓦莱丽·帕赫纳 / 玛丽亚·西蒙,7.7,,剧/情/ /// /传/记/ /// /爱/情/ /// /战/争,
83,布鲁克林秘案 Motherless Brooklyn,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2568345819.jpg,美国,2019,爱德华·诺顿,爱德华·诺顿 / 古古·姆巴塔-劳 / 亚历克·鲍德温,7.0,,剧/情/ /// /犯/罪,
84,致允熙 윤희에게,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2571774021.jpg,韩国,2019,林大迥,金喜爱 / 中村优子 / 金素慧,8.2,,剧/情/ /// /同/性,
85,女儿 Dcera,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2572130427.jpg,捷克,2019,Daria Kashcheeva,,8.0,,动/画/ /// /短/片,
86,钱信伊：亚洲笑星闹美国 Ronny Chieng: Asian Comedian Destroys America,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2577483196.jpg,美国,2019,Sebastian DiNatale,钱信伊,8.0,,喜/剧,
87,爆炸新闻 Bombshell,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2571554907.jpg,美国/加拿大,2019,杰伊·罗奇,查理兹·塞隆 / 妮可·基德曼 / 玛格特·罗比,7.1,,剧/情/ /// /传/记,
88,赛马女孩 Ride Like A Girl,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2552357593.jpg,澳大利亚,2019,瑞切尔·格里菲斯,泰莉莎·帕尔墨 / 山姆·尼尔 / 沙利文·斯特普尔顿,7.6,,剧/情/ /// /传/记/ /// /运/动,
89,蜂蜜之地 Медена земја,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2558830993.jpg,北马其顿,2019,塔玛拉·科特夫斯卡 / 卢博·斯特法诺夫,哈蒂兹·穆拉托娃 / 纳齐夫·穆拉托娃 / 侯赛因·萨姆,8.9,,剧/情/ /// /纪/录/片,
90,明日家族 あしたの家族,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2580887608.jpg,日本,2020,土井裕泰,宫崎葵 / 永山瑛太 / 松坂庆子,7.8,,剧/情/ /// /家/庭,
91,亡命大画家 Mi obra maestra,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2532485088.jpg,阿根廷/西班牙,2018,加斯顿·杜帕拉特,安德列·阿卡托 / 卢卡斯·阿兰达 / 劳尔·阿雷瓦洛,7.3,,喜/剧,
92,年轻的阿迈德 Le jeune Ahmed,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554651495.jpg,比利时/法国,2019,让-皮埃尔·达内 / 吕克·达内,伊迪尔·本·阿迪 / Olivier Bonnaud / Myriem Akheddiou,7.1,,剧/情,
93,碧海寻宝记 Treasures from the Wreck of the Unbelievable,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578637950.jpg,英国,2018,Sam Hobkinson,Damien Hirst / Piotr Baumann,8.0,,历/史/ /// /纪/录/片,
94,今天也是招人嫌的便当 今日も嫌がらせ弁当,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549714861.jpg,日本,2019,塚本连平,筱原凉子 / 芳根京子 / 松井玲奈,7.1,,剧/情/ /// /家/庭,
95,外出偷马 Ut og stjæle hester,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550293117.jpg,挪威/瑞典/丹麦,2019,汉斯·皮特·莫朗,斯特兰·斯卡斯加德 / 比约恩·弗洛伯格 / 托拜厄斯·桑特尔曼,7.4,,剧/情/ /// /悬/疑,
96,与我跳舞 ダンスウィズミー,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2548748283.jpg,日本,2019,矢口史靖,三吉彩花 / 永谷真绘 / 林田麻里,7.0,,喜/剧/ /// /冒/险/ /// /歌/舞,
97,孤独的美食家除夕SP：京都・名古屋出差篇 孤独のグルメ 2018大晦日スペシャル,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2544366003.jpg,日本,2018,,松重丰,8.9,,剧/情,
98,变身特工 Spies in Disguise,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2577340942.jpg,美国,2019,尼克·布鲁诺 / 特洛伊·奎安,威尔·史密斯 / 汤姆·赫兰德 / 拉什达·琼斯,7.5,,喜/剧/ /// /动/作/ /// /科/幻/ /// /动/画,
99,在京都小住 ちょこっと京都に住んでみた。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2578681228.jpg,日本,2019,吉见拓真,木村文乃 / 近藤正臣,8.1,,剧/情/ /// /家/庭,
100,谎言之城 City of Lies,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2524119618.jpg,英国/美国,2018,布拉德·福尔曼,约翰尼·德普 / 福里斯特·惠特克 / 托比·哈斯,7.0,,传/记/ /// /犯/罪/ /// /惊/悚,
